2026-08-16 18:21:02 [INFO] Новое подключение: Устройство или оператор подключились к облаку!
2026-08-16 18:22:44 [INFO] СТАНОК -> Телеметрия: Обороты 0 RPM, Мотор: False
2026-08-16 18:22:44 [INFO] ОПЕРАТОР -> Команда управления: {'action': 'start'}
2026-08-16 18:22:45 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:22:46 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:22:47 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:22:48 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:22:49 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:22:50 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:22:51 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:22:56 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:22:57 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:22:58 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:22:59 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:00 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:01 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:02 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:03 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:04 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:05 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:06 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:13 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:16 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:17 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:18 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:19 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:20 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:21 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:22 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:23 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:24 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:25 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:26 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:27 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:28 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:30 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:32 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:33 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:34 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:35 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:36 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:37 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:38 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:39 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:40 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:41 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:43 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:44 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:45 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:47 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:48 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:49 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:50 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:23:51 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
